"artist_names","artists_id","danceability","energy","valence","tempo","loudness","mode","key","acousticness","instrumentalness","liveness","speechiness","explicit","duration_ms","popularity","year","release_date","song_title","follower_main_genre"
"Anita O'Day",479028,0.491,0.385,0.626,86.812,-9.2,1,2,0.623,0,0.176,0.0334,0,87120,12,1960,"1/1/1960","Falling In Love With Love","Vocal"
"Anita O'Day",479028,0.502,0.111,0.459,115.41,-18.55,1,2,0.892,1.97e-05,0.35,0.0606,0,148187,18,1961,"3/14/1961","That Old Feeling","Vocal"
"Anita O'Day",479028,0.534,0.0486,0.228,69.571,-15.446,0,10,0.99,0.000196,0.092,0.0353,0,254667,8,1955,"1/1/1955","The Man I Love","Vocal"
"Anita O'Day",479028,0.539,0.131,0.334,86.486,-15.584,1,10,0.966,8.91e-06,0.172,0.0564,0,166373,5,1955,"1/1/1955","You're Getting To Be A Habit With Me","Vocal"
"Anita O'Day",479028,0.643,0.138,0.653,91.234,-14.227,1,5,0.964,0,0.087,0.0535,0,149067,5,1955,"1/1/1955","Let's Fall In Love","Vocal"
"Anita O'Day",479028,0.428,0.0667,0.216,74.546,-21.515,1,3,0.979,0.00153,0.148,0.0627,0,235267,15,1957,"1/1/1957","Bewitched, Bothered And Bewildered","Vocal"
"Anita O'Day",479028,0.418,0.365,0.883,184.252,-10.673,1,9,0.762,0,0.0489,0.129,0,103000,19,1959,"1/1/1959","All Of You","Vocal"
"Anita O'Day",479028,0.648,0.0391,0.327,76.184,-22.378,1,9,0.977,5.59e-05,0.0917,0.0372,0,241000,16,1957,"1/1/1957","I've Got The World On A String","Vocal"
"Anita O'Day",479028,0.53,0.273,0.629,103.756,-15.494,1,8,0.892,0,0.329,0.115,0,142333,17,1959,"1/1/1959","I Get A Kick Out Of You","Vocal"
"Anita O'Day",479028,0.49,0.512,0.805,167.967,-13.115,1,8,0.749,8.74e-05,0.235,0.095,0,160307,13,1957,"1/1/1957","Them There Eyes","Vocal"
"Anita O'Day",479028,0.699,0.147,0.437,116.689,-16.751,1,7,0.881,0,0.128,0.0501,0,220640,14,1957,"1/1/1957","We'll Be Together *****","Vocal"
"Anita O'Day",479028,0.574,0.131,0.66,130.925,-16.161,0,11,0.789,0,0.222,0.123,0,185440,14,1958,"1/1/1958","Frenesi","Vocal"
"Anita O'Day",479028,0.508,0.371,0.733,124.116,-11.54,1,1,0.5,0,0.345,0.0954,0,111933,10,1960,"1/1/1960","Have You Met Miss Jones","Vocal"
"Anita O'Day",479028,0.261,0.106,0.108,76.93,-14.41,1,10,0.974,0.00335,0.171,0.0358,0,263333,13,1962,"1/1/1962","The Ballad Of The Sad Young Men","Vocal"
"Anita O'Day",479028,0.543,0.108,0.387,78.93,-15.125,0,2,0.989,0.00201,0.0939,0.0795,0,162240,5,1955,"1/1/1955","Just One Of Those Things - **** Version","Vocal"
"Anita O'Day",479028,0.477,0.0781,0.257,103.266,-15.735,0,7,0.967,2.33e-06,0.12,0.0363,0,223533,4,1955,"1/1/1955","I Didn't Know What Time It Was","Vocal"
"Anita O'Day",479028,0.596,0.223,0.429,122.835,-16.007,0,7,0.716,0,0.109,0.0658,0,155733,9,1956,"1/1/1956","Don't Be That Way","Vocal"
"Anita O'Day",479028,0.326,0.0381,0.115,129.182,-21.155,1,9,0.906,1.47e-05,0.091,0.0365,0,161467,12,1958,"1/1/1958","Tenderly","Vocal"
"Anita O'Day",479028,0.315,0.0433,0.191,88.442,-22.316,1,8,0.899,0,0.135,0.0356,0,218933,2,1952,"1/1/1952","Vaya Con Dios","Vocal"
"Anita O'Day",479028,0.441,0.228,0.514,168.28,-15.235,1,5,0.621,0,0.109,0.0929,0,253333,10,1956,"4/4/1956","Sweet Georgia *****","Vocal"
"Anita O'Day",479028,0.42,0.166,0.277,128.02,-15.891,0,5,0.933,2.31e-06,0.179,0.0365,0,239000,9,1956,"1/1/1956","Man With The Horn","Vocal"
"Anita O'Day",479028,0.681,0.261,0.816,116.531,-17.238,1,0,0.747,4.28e-05,0.0881,0.0614,0,188173,7,1956,"1/1/1956","Pick Yourself Up","Vocal"
"Anita O'Day",479028,0.508,0.417,0.531,142.288,-13.063,1,7,0.786,0,0.124,0.141,0,152493,10,1959,"1/1/1959","What Is This Thing ****** Love?","Vocal"
"Anita O'Day",479028,0.4,0.0663,0.233,109.202,-22.418,1,10,0.897,2.29e-06,0.172,0.0489,0,182413,13,1961,"3/14/1961","When Sunny Gets ****","Vocal"
"Anita O'Day",479028,0.687,0.28,0.741,87.618,-17.572,1,2,0.778,0,0.0631,0.0534,0,158947,16,1962,"1/1/1962","You And The ***** And The Music","Vocal"
"Anita O'Day",479028,0.609,0.203,0.501,134.534,-13.75,1,1,0.638,0,0.192,0.0558,0,201427,10,1956,"1/1/1956","Stompin At The Savoy","Vocal"
"Anita O'Day",479028,0.554,0.437,0.698,120.037,-13.538,0,5,0.752,0.00105,0.28,0.165,0,147200,10,1958,"1/1/1958","Four Brothers","Vocal"
"Anita O'Day",479028,0.627,0.274,0.691,116.982,-13.423,0,2,0.862,0,0.242,0.0819,0,148973,11,1961,"1/1/1961","What A Little Moonlight Can Do","Vocal"
"Anita O'Day",479028,0.46,0.303,0.931,170.608,-12.567,0,0,0.823,0,0.0676,0.107,0,125707,9,1959,"1/1/1959","It's Delovely","Vocal"
"Anita O'Day",479028,0.601,0.0964,0.31,104.638,-16.657,0,11,0.935,1.63e-06,0.181,0.0627,0,155267,12,1960,"1/1/1960","**** Champagne","Vocal"
"Anita O'Day",479028,0.538,0.306,0.625,107.447,-14.83,1,8,0.89,1.18e-06,0.232,0.0565,0,175667,12,1957,"1/1/1957","Old Devil Moon","Vocal"
"Anita O'Day",479028,0.5,0.128,0.429,75.828,-14.137,1,8,0.914,0,0.182,0.058,0,193947,11,1959,"1/1/1959","It Had To Be You","Vocal"
"Anita O'Day",479028,0.593,0.153,0.399,135.17,-13.297,1,1,0.854,0,0.125,0.0418,0,189053,10,1959,"1/1/1959","Mack The Knife","Vocal"
"Anita O'Day",479028,0.54,0.191,0.33,82.599,-10.428,1,8,0.983,0.111,0.205,0.0382,0,190307,29,1941,"1941","That's What You Think","Vocal"
"Anita O'Day",479028,0.547,0.384,0.769,158.401,-7.961,1,3,0.808,0.0031,0.122,0.236,0,188773,26,1941,"1941","Watch the Birdie","Vocal"
"Anita O'Day",479028,0.557,0.408,0.497,155.004,-8.032,1,1,0.863,0.000177,0.0738,0.0596,0,180733,24,1941,"1941","Let Me *** Uptown","Vocal"
"Anita O'Day",479028,0.645,0.447,0.838,76.258,-8.152,1,0,0.809,0.00119,0.0827,0.0427,0,175467,19,1941,"1941","Opus One (with Gene Krupa & His Orchestra)","Vocal"
"Anita O'Day",479028,0.541,0.26,0.737,143.258,-8.097,1,8,0.877,0.00327,0.0639,0.0404,0,201467,17,1941,"1941","Boogie *****","Vocal"
"Anita O'Day",479028,0.513,0.551,0.845,164.674,-7.616,1,7,0.732,4.36e-05,0.507,0.136,0,156773,12,1941,"1941","Green Eyes","Vocal"
"Anita O'Day",479028,0.571,0.302,0.603,137.139,-8.534,0,7,0.92,0.000173,0.0979,0.0341,0,174200,15,1941,"1941","Georgia on My Mind (with Gene Krupa & His Orchestra)","Vocal"
"Anita O'Day",479028,0.484,0.144,0.237,86.618,-10.413,0,7,0.981,0.00877,0.108,0.032,0,187093,10,1941,"1941","Skylark","Vocal"
"Anita O'Day",479028,0.717,0.415,0.731,78.642,-7.958,1,10,0.968,0.00841,0.0497,0.0494,0,193000,10,1941,"1941","*************","Vocal"
"Anita O'Day",479028,0.577,0.422,0.636,146.68,-8.242,0,10,0.872,0.00103,0.175,0.0566,0,145307,10,1941,"1941","Kick It!","Vocal"
"Anita O'Day",479028,0.648,0.39,0.787,140.762,-6.371,1,5,0.893,6.88e-06,0.386,0.0482,0,184000,7,1941,"1941","Barrelhouse Bessie From Basin Street","Vocal"
"Anita O'Day",479028,0.599,0.287,0.561,102.692,-8.834,1,10,0.894,2.76e-05,0.298,0.0312,0,190867,7,1941,"1941","Slow Down","Vocal"
"Anita O'Day",479028,0.717,0.509,0.749,88.767,-6.569,0,10,0.947,0.00502,0.18,0.0502,0,165133,6,1941,"1941","Harlem On Parade","Vocal"
"Anita O'Day",479028,0.564,0.324,0.825,168.288,-8.863,1,10,0.827,0.000374,0.736,0.0554,0,195800,8,1941,"1941","Stop! The Red Light's On","Vocal"
"Anita O'Day",479028,0.482,0.475,0.699,177.643,-9.069,1,8,0.895,0.0633,0.0624,0.0538,0,170760,7,1941,"1941","Bolero At The Savoy","Vocal"
"Anita O'Day",479028,0.647,0.175,0.573,82.635,-17.677,0,5,0.912,1.77e-06,0.0822,0.0395,0,160853,40,1955,"1/1/1955","Beautiful Love","Vocal"
"Anita O'Day",479028,0.759,0.245,0.583,76.147,-12.52,0,6,0.745,0,0.149,0.0709,0,145160,29,1955,"1/1/1955","You're The Top","Vocal"
"Anita O'Day",479028,0.559,0.11,0.451,138.393,-16.084,0,5,0.774,0,0.0885,0.0688,0,193760,24,1955,"1/1/1955","*********** Rose","Vocal"
"Anita O'Day",479028,0.454,0.16,0.479,172.596,-16.947,0,0,0.927,1.76e-06,0.132,0.0459,0,194133,23,1955,"1/1/1955","Who Cares?","Vocal"
"Anita O'Day",479028,0.658,0.137,0.416,114.89,-17.34,0,9,0.946,1.22e-06,0.0963,0.147,0,223893,31,1957,"1/1/1957","You Turned The Tables On Me","Vocal"
"Anita O'Day",479028,0.559,0.113,0.361,80.67,-16.934,1,8,0.876,0,0.212,0.0602,0,200960,36,1961,"3/14/1961","Waiter, Make Mine *****","Vocal"
"Anita O'Day",479028,0.657,0.222,0.48,126.062,-18.186,0,5,0.869,0,0.0831,0.0697,0,176840,39,1962,"1/1/1962","Whisper Not","Vocal"
"Anita O'Day",479028,0.651,0.387,0.779,145.005,-7.48,1,0,0.527,0,0.141,0.0905,0,185973,12,1952,"1/1/1952","And Her Tears Flowed Like Wine","Vocal"
"Anita O'Day",479028,0.313,0.0666,0.123,102.314,-20.801,1,7,0.748,0,0.277,0.0357,0,240800,20,1955,"1/1/1955","A *********** Sang In Berkeley Square","Vocal"
"Anita O'Day",479028,0.589,0.188,0.612,142.585,-16.651,1,10,0.828,0,0.151,0.0558,0,219507,19,1955,"1/1/1955","As Long As I Live","Vocal"
"Anita O'Day",479028,0.554,0.256,0.457,115.824,-16.729,1,7,0.903,0,0.106,0.0824,0,180040,36,1957,"1/1/1957","'S Wonderful / They Can't Take That Away From Me","Vocal"
"Anita O'Day",479028,0.482,0.122,0.247,69.017,-15.265,1,10,0.844,0,0.095,0.0455,0,207733,28,1961,"1/1/1961","Crazy He ***** Me","Vocal"
"Anita O'Day",479028,0.399,0.132,0.395,144.567,-15.007,1,3,0.888,0,0.295,0.0332,0,188733,11,1952,"1/1/1952","Lullaby Of The Leaves","Vocal"
"Anita O'Day",479028,0.56,0.228,0.735,140.985,-13.962,1,8,0.703,0,0.421,0.0432,0,159827,3,1952,"1/1/1952","Ain't This A Wonderful Day?","Vocal"
"Anita O'Day",479028,0.556,0.154,0.505,134.959,-13.945,0,7,0.905,0,0.128,0.0584,0,148147,14,1955,"1/1/1955","No Moon At All","Vocal"
"Anita O'Day",479028,0.561,0.143,0.327,119.404,-19.601,1,0,0.87,2.25e-06,0.26,0.0428,0,231840,29,1962,"1/1/1962","(Fly Me To The Moon) In Other Words","Vocal"
"Anita O'Day",479028,0.392,0.062,0.416,74.297,-24.686,1,7,0.739,0,0.0833,0.0654,0,189920,5,1952,"1/1/1952","Strawberry Moon","Vocal"
"Anita O'Day",479028,0.518,0.438,0.71,131.614,-12.041,1,3,0.712,0,0.0618,0.0382,0,197133,3,1952,"1/1/1952","Rock 'N Roll *****","Vocal"
"Anita O'Day",479028,0.565,0.318,0.565,126.882,-14.862,0,9,0.874,0,0.077,0.0519,0,145800,5,1952,"1/1/1952","Lover Come Back To Me - **** Version","Vocal"
"Anita O'Day",479028,0.545,0.151,0.332,126.419,-19.869,1,7,0.408,0,0.173,0.0776,0,159133,4,1952,"1/1/1952","The Lady Is A ****","Vocal"
"Anita O'Day",479028,0.38,0.282,0.735,79.47,-13.587,1,8,0.811,0,0.245,0.0405,0,216267,4,1952,"1/1/1952","Love For Sale - **** Version","Vocal"
"Anita O'Day",479028,0.46,0.246,0.53,166.403,-15.189,1,0,0.756,1.89e-06,0.0992,0.0815,0,173440,28,1958,"1/1/1958","Take The A Train","Vocal"
"Anita O'Day",479028,0.62,0.329,0.727,116.17,-15.676,1,6,0.508,0,0.202,0.0532,0,196000,24,1956,"4/4/1956","Let's Face The Music And Dance","Vocal"
"Anita O'Day",479028,0.572,0.36,0.768,94.698,-15.117,0,4,0.739,0,0.463,0.0741,0,214200,28,1958,"1/1/1958","Sing, Sing, Sing (With A Swing)","Vocal"
"Anita O'Day",479028,0.704,0.505,0.844,81.776,-12.794,1,9,0.518,0,0.0919,0.0614,0,162867,30,1958,"1/1/1958","Peanut Vendor","Vocal"
"Anita O'Day",479028,0.465,0.0757,0.281,70.42,-17.793,1,0,0.861,0,0.0846,0.0425,0,179667,4,1952,"1/1/1952","********** Cryin'","Vocal"
"Anita O'Day",479028,0.287,0.118,0.186,125.412,-17.808,1,7,0.878,4.55e-06,0.167,0.0364,0,173973,12,1955,"1/1/1955","I Fall In Love Too Easily","Vocal"
"Anita O'Day",479028,0.538,0.18,0.541,76.107,-15.583,0,5,0.879,1.1e-06,0.0983,0.0521,0,169773,12,1955,"1/1/1955","I'll See You In My Dreams","Vocal"
"Anita O'Day",479028,0.309,0.0945,0.237,90.142,-15.986,1,5,0.886,0,0.333,0.0331,0,233920,12,1955,"1/1/1955","I Can't Get Started","Vocal"
"Anita O'Day",479028,0.508,0.436,0.649,165.594,-17.215,1,7,0.202,0,0.347,0.237,0,236987,32,1958,"1/1/1958","Tea For Two","Vocal"
"Anita O'Day",479028,0.55,0.296,0.358,109.603,-9.238,1,0,0.662,0,0.318,0.057,0,135493,21,1960,"1/1/1960","Ten Cents A Dance","Vocal"
"Anita O'Day",479028,0.494,0.302,0.785,148.197,-10.51,0,2,0.685,0,0.281,0.0711,0,129267,21,1960,"1/1/1960","I Could Write A Book","Vocal"
"Anita O'Day",479028,0.366,0.0551,0.24,94.657,-21.543,1,3,0.876,6.41e-05,0.224,0.038,0,219507,24,1961,"3/14/1961","Angel Eyes","Vocal"
"Anita O'Day",479028,0.523,0.214,0.55,149.61,-17.836,0,0,0.855,3.71e-05,0.107,0.0721,0,145520,11,1955,"1/1/1955","Fine And Dandy","Vocal"
"Anita O'Day",479028,0.579,0.0395,0.242,61.022,-16.874,0,5,0.974,0.0112,0.111,0.0397,0,207467,13,1955,"1/1/1955","Anita's *****","Vocal"
"Anita O'Day",479028,0.147,0.0948,0.243,75.478,-22.297,1,3,0.892,3.23e-05,0.0785,0.0408,0,246880,12,1955,"1/1/1955","Time After Time","Vocal"
"Anita O'Day",479028,0.443,0.229,0.554,165.94,-15.257,1,5,0.606,0,0.123,0.0883,0,256133,17,1956,"1/1/1956","Sweet Georgia *****","Vocal"
"Anita O'Day",479028,0.687,0.26,0.606,83.737,-15.755,0,2,0.67,0,0.0508,0.123,0,172000,19,1958,"1/1/1958","Four","Vocal"
"Anita O'Day",479028,0.592,0.276,0.561,113.757,-16.578,0,0,0.844,5.86e-05,0.16,0.111,0,181133,19,1960,"1/1/1960","Old Devil Moon","Vocal"
"Anita O'Day",479028,0.557,0.333,0.555,146.081,-12.728,0,7,0.916,0,0.161,0.109,0,193600,6,1955,"1/1/1955","From This Moment On - **** Version","Vocal"
"Anita O'Day",479028,0.453,0.0583,0.133,110.347,-20.606,1,9,0.973,4e-05,0.0973,0.0419,0,202800,20,1957,"1/1/1957","Tenderly","Vocal"
"Anita O'Day",479028,0.343,0.181,0.314,142.86,-12.428,1,5,0.904,0,0.45,0.0323,0,259280,19,1960,"1/1/1960","Bewitched, Bothered And Bewildered","Vocal"
"Anita O'Day",479028,0.327,0.0254,0.277,176.213,-16.307,1,10,0.975,2.41e-05,0.0935,0.037,0,227160,6,1955,"1/1/1955","I Cover The Waterfront","Vocal"
"Anita O'Day",479028,0.629,0.171,0.453,139.208,-16.728,1,5,0.874,0,0.125,0.0533,0,144467,19,1957,"1/1/1957","Taking A Chance On Love","Vocal"
"Anita O'Day",479028,0.711,0.339,0.79,116.526,-14.337,1,8,0.815,3.4e-06,0.135,0.1,0,156693,19,1957,"1/1/1957","Love Me Or Leave Me","Vocal"
"Anita O'Day",479028,0.432,0.0491,0.243,123.938,-20.128,0,10,0.805,0,0.267,0.0396,0,191240,17,1958,"1/1/1958","Early Autumn","Vocal"
"Anita O'Day",479028,0.619,0.121,0.262,119.837,-15.498,1,1,0.896,7.53e-06,0.0945,0.0826,0,174200,21,1959,"1/1/1959","My Heart Belongs To Daddy","Vocal"
"Boys Don't Cry",80609,0.749,0.626,0.77,142.565,-12.426,1,0,0.0115,0.567,0.0558,0.0393,0,366133,41,1985,"1985","I Wanna Be A ******","Pop/Rock"
"Boys Don't Cry",80609,0.719,0.797,0.637,142.567,-6.988,1,0,0.00762,0.312,0.0993,0.0351,0,242893,29,1985,"1985","I Wanna Be A ****** - **** Remaster","Pop/Rock"
"Caedmon's Call",942624,0.545,0.464,0.643,82.015,-11.483,1,8,0.576,8.74e-05,0.126,0.031,0,281400,40,1999,"1999","Faith My Eyes","Religious"
"Cap'n Jazz",654543,0.299,0.913,0.156,101.059,-7.645,1,9,0.00158,0.00331,0.122,0.0598,0,236560,38,1998,"1/8/1998","Little League","Pop/Rock"
"Cap'n Jazz",654543,0.437,0.703,0.524,93.134,-6.958,0,6,0.00104,0.000719,0.0857,0.0376,0,183173,37,1998,"1/8/1998","Take On Me","Pop/Rock"
"Cap'n Jazz",654543,0.472,0.907,0.376,107.294,-6.386,1,7,0.000691,0.000532,0.102,0.0545,0,122880,41,1998,"1/8/1998","Oh Messy Life","Pop/Rock"
"Cherry Poppin' Daddies",775588,0.537,0.901,0.818,107.265,-8.301,1,0,0.0373,0.00152,0.0689,0.0819,0,220000,31,1990,"1990","Dr. Bones","Pop/Rock"
"Cherry Poppin' Daddies",775588,0.568,0.706,0.896,184.126,-8.679,0,8,0.175,0,0.157,0.0837,0,233039,47,1997,"3/18/1997","Zoot Suit Riot","Pop/Rock"
"Colby O'Donis",106145,0.773,0.639,0.31,119.97,-6.738,1,1,0.0333,0,0.166,0.038,0,243240,44,2008,"2008","What You Got (feat. Akon)","R&B"
"D'Angelo",134600,0.803,0.236,0.567,80.974,-12.599,1,7,0.343,0.598,0.0682,0.0994,1,314166,42,1995,"7/3/1995","****, ****, ****","R&B"
"D'Angelo",134600,0.638,0.395,0.316,78.516,-11.299,0,4,0.724,0.569,0.0761,0.1,0,344347,57,2014,"12/15/2014","Really Love","R&B"
"D'Angelo",134600,0.407,0.399,0.538,67.856,-12.483,1,1,0.457,3.38e-05,0.209,0.354,0,327733,40,1995,"7/3/1995","Higher","R&B"
"D'Angelo",134600,0.643,0.473,0.509,81.944,-11.924,1,9,0.425,0.0227,0.0904,0.0957,0,313533,41,1995,"7/3/1995","Alright","R&B"
"D'Angelo",134600,0.842,0.405,0.824,91.972,-9.504,1,1,0.219,0,0.368,0.628,1,286467,45,2000,"1/1/2000","Left And Right","R&B"
"D'Angelo",134600,0.897,0.498,0.685,91.088,-10.093,0,11,0.108,0.0117,0.658,0.312,0,278573,44,2000,"1/1/2000","Chicken Grease","R&B"
"D'Angelo",134600,0.866,0.41,0.704,80.194,-7.348,1,0,0.498,0.00019,0.0933,0.457,0,393107,43,2000,"1/1/2000","The Root","R&B"
"D'Angelo",134600,0.507,0.691,0.453,79.314,-7.357,0,0,0.255,1.6e-05,0.885,0.0764,0,246560,40,1998,"6/30/1998","Can't Hide Love - Live","R&B"
"D'Angelo",134600,0.52,0.468,0.439,81.548,-8.58,1,1,0.454,0.0258,0.715,0.392,1,426760,44,2000,"1/1/2000","Playa Playa","R&B"
"D'Angelo",134600,0.843,0.376,0.558,80.098,-9.653,1,2,0.145,0.00471,0.167,0.382,0,316307,43,2000,"1/1/2000","The Line","R&B"
"D'Angelo",134600,0.726,0.33,0.378,94.755,-9.935,1,9,0.608,0.127,0.724,0.211,0,373600,42,2000,"1/1/2000","Africa","R&B"
"D'Angelo",134600,0.796,0.408,0.688,86.855,-12.268,1,1,0.462,0.0902,0.0993,0.231,0,356000,40,1995,"7/3/1995","Jonz In My Bonz","R&B"
"D'Angelo",134600,0.765,0.55,0.688,94.959,-7.942,1,0,0.356,9.46e-05,0.102,0.08,0,240453,50,2008,"12/1/2008","I Found My Smile ***** (Radio Edit)","R&B"
"D'Angelo",134600,0.71,0.553,0.646,88.962,-10.223,1,6,0.208,0.000994,0.0905,0.138,0,259367,39,1995,"7/3/1995","Smooth","R&B"
"D'Angelo",134600,0.813,0.446,0.603,82.587,-11.328,0,1,0.13,0.0405,0.0865,0.243,0,455067,41,2000,"1/1/2000","************************","R&B"
"D'Angelo",134600,0.786,0.547,0.683,92.603,-11.416,1,1,0.0397,0.272,0.0378,0.262,0,302840,55,2014,"12/15/2014","Sugah Daddy","R&B"
"D'Angelo",134600,0.772,0.689,0.356,97.225,-7.026,0,5,0.644,0,0.219,0.107,1,176987,40,2008,"1/1/2008","Believe","R&B"
"D'Angelo",134600,0.815,0.364,0.723,84.898,-11.834,0,8,0.14,0.0255,0.121,0.089,0,346267,63,1995,"7/3/1995","Lady","R&B"
"D'Angelo",134600,0.539,0.363,0.549,136.422,-13.888,0,10,0.701,3.18e-06,0.14,0.166,0,350533,63,1998,"8/25/1998","Nothing Even Matters (feat. D'Angelo)","R&B"
"D'Angelo",134600,0.718,0.486,0.589,83.077,-8.342,1,9,0.53,0.0342,0.102,0.168,1,262893,60,1995,"7/3/1995","***** Sugar","R&B"
"D'Angelo",134600,0.407,0.525,0.329,74.34,-12.725,0,11,0.381,0.000452,0.0816,0.166,0,384667,55,1995,"7/3/1995","Cruisin'","R&B"
"D'Angelo",134600,0.838,0.304,0.221,112.618,-9.975,0,4,0.16,0.0257,0.0828,0.0628,0,430800,60,2000,"1/1/2000","******** (How Does It Feel)","R&B"
"D'Angelo",134600,0.913,0.201,0.519,87.359,-9.511,1,0,0.0979,0.487,0.0867,0.15,0,382333,58,2000,"1/1/2000","Feel Like Makin' Love","R&B"
"D'Angelo",134600,0.789,0.258,0.335,127.491,-11.759,1,5,0.168,0.00714,0.326,0.104,0,356493,53,2000,"1/1/2000","Send It On","R&B"
"D'Angelo",134600,0.917,0.455,0.562,92.097,-8.446,0,10,0.00306,0.000742,0.713,0.23,1,321643,50,2000,"1/1/2000","Devil's Pie","R&B"
"D'Angelo",134600,0.619,0.561,0.285,90.36,-5.351,0,5,0.0087,6.74e-05,0.304,0.0494,1,336813,56,2006,"8/21/2006","So Far to Go","R&B"
"D'Angelo",134600,0.763,0.407,0.703,108.894,-11.514,1,11,0.103,0.418,0.0532,0.0342,0,344893,48,1995,"7/3/1995","When We Get By","R&B"
"D'Angelo",134600,0.729,0.498,0.78,111.77,-8.906,0,0,0.537,0.322,0.134,0.0821,0,344493,52,2000,"1/1/2000","Spanish Joint","R&B"
"D'Angelo",134600,0.511,0.402,0.503,83.339,-10.695,0,4,0.702,0.00014,0.11,0.219,0,286800,45,1995,"7/3/1995","Me And Those Dreamin' Eyes Of Mine","R&B"
"D'Angelo",134600,0.784,0.696,0.704,86.903,-8.449,1,8,0.428,1.13e-06,0.0973,0.311,1,233933,46,1998,"10/11/1998","Break Ups * Make Ups","R&B"
"D'Angelo",134600,0.857,0.16,0.591,64.026,-12.933,1,1,0.291,0.0555,0.118,0.352,0,373027,46,2000,"1/1/2000","One Mo'Gin","R&B"
"D'Angelo",134600,0.671,0.733,0.462,120.08,-7.88,1,7,0.254,0.218,0.207,0.0653,0,200840,58,2014,"12/15/2014","The Charade","R&B"
"D'Angelo",134600,0.803,0.627,0.638,87.105,-3.787,0,6,0.286,0,0.248,0.443,1,282187,55,2006,"1/1/2006","Imagine","R&B"
"Daniel O'Donnell",677089,0.791,0.401,0.853,123.033,-11.132,1,1,0.381,0,0.1,0.0343,0,170720,39,1986,"1986","I Just Want to Dance with You","Vocal"
"Des'ree",206668,0.721,0.74,0.714,104.815,-5.453,1,1,0.112,4.12e-05,0.0848,0.0416,0,216040,64,1998,"6/29/1998","Life","R&B"
"Des'ree",206668,0.627,0.669,0.498,94.029,-9.985,1,0,0.211,2.72e-06,0.111,0.0412,0,245200,64,1994,"4/27/1994","You Gotta Be","R&B"
"Des'ree",206668,0.276,0.294,0.0733,83.468,-14.434,0,9,0.91,0.013,0.105,0.0391,0,293573,58,1998,"6/29/1998","I'm Kissing You","R&B"
"Des'ree",206668,0.663,0.753,0.484,94.06,-7.061,1,0,0.176,0,0.105,0.0379,0,240067,55,1998,"6/29/1998","You Gotta Be","R&B"
"Destiny's Child",210991,0.617,0.575,0.278,72.188,-5.212,0,3,0.000238,0.053,0.0542,0.0363,0,245600,43,1999,"7/27/1999","Temptation","R&B"
"Destiny's Child",210991,0.709,0.505,0.949,98.091,-6.71,0,6,0.37,4.33e-06,0.267,0.199,0,222627,22,1976,"1976","Independent Women, Pt. *","R&B"
"Destiny's Child",210991,0.464,0.678,0.682,148.706,-8.104,0,5,0.0655,1.23e-05,0.333,0.144,0,286773,39,2004,"11/16/2004","Is *** The Reason","R&B"
"Destiny's Child",210991,0.839,0.403,0.901,124.042,-8.415,1,6,0.489,0,0.363,0.103,0,234707,40,2004,"11/16/2004","Bad Habit","R&B"
